7.8,0.083,2.7,13.2,0.026,1.2,0.00485,0.02042,0.00491,0.12881,0.00077
7.6,0.108,2.1,48.8,0.04,1,0,0.08677,0.00312,0,0.00087
7.4,0.093,3,11.9,0.029,1.1,0,0.01673,0.03277,0.11741,0.00179
8.9,0.087,3.2,11.2,0.046,1,0,0.04785,0.01127,0.01268,0.00028
6.7,0.058,2.6,13,0.025,1,0.01528,0.05448,0.01699,0,0.00157
8.2,0.128,4.8,15.9,0.036,1.3,0.00206,0.02351,0.0037,0.14382,0.00138
8.1,0.128,3.8,10.9,0.033,1.4,0,0.01323,0.01474,0.22995,0.00079
8,0.083,2.8,12.2,0.036,1.1,0.00202,0.00806,0.0212,0.0598,0.00137
6.2,0.068,3.3,13,0.019,1.1,0.00519,0.0569,0.02266,0.03911,0.00104
7.1,0.128,3.5,13.8,0.027,1.5,0,0.01402,0.01367,0.08551,0.0015
5.7,0.068,1.9,10,0.018,1.1,0.00136,0.05351,0.0384,0,0.00116
7.3,0.106,2.9,15.1,0.025,1.2,0,0.05761,0.00012,0.03837,0.00127
8.7,0.097,3.5,11.5,0.056,1.2,0.00098,0.09213,0.01538,0.02574,0.00139
7.9,0.131,4.9,13.6,0.031,1.4,0,0.02511,0.02208,0.09332,0.00069
7.4,0.086,3.3,15.8,0.026,1.2,0.00034,0.014,0.01075,0.144,0.00056
6.5,0.086,3.5,12.6,0.022,1.4,0.0328,0.00915,0.0184,0.14632,0.0015
9.8,0.084,6.4,20.4,0.035,1,0,0.12627,0.0146,0,0.00155
7.3,0.123,3,12.3,0.03,1.3,0,0.032,0.01347,0.148,0.00125
10.1,0.107,3.5,11.7,0.051,1.1,0,0.01796,0.0251,0.10878,0.00081
6.3,0.034,2.8,10.9,0.018,1.2,0.00218,0.01711,0.031,0,0.00166
6.9,0.104,4.1,21,0.028,1.2,0,0.01984,0.0082,0.13736,0.00068
7.8,0.079,3.8,11.3,0.037,1.2,0,0.0319,0.01297,0.05789,0.00088
8,0.107,3.3,11.3,0.031,1.2,0,0.04095,0.012,0.01359,0.00135
